UUID	Q#	Trust Index Dimension	Domain applicability	Country applicability	M/O	Group or not group	Question type	Question	Question - Proposed revision	Response indicators	RI - Proposed revision	Score	Points Available	Weighting (low-high)	Reference	Alt Text
Q1F036	63	Data Quality				not group	Mitigation	Do you have clear policies around storing and handling testing data to evaluate model performance such that there is no data leakage to intentionally or unintentionally influence results from model performance and the evaluation of the overall model?					1	low	We recommend that clear policies be established throughout data collection and model creation. Guidance from ODSC - Open Data Science points out that key areas where data leakage can occur are during data collection, data preprocessing and feature engineering, and during data partitioning.	
AE1DC0										Yes		1				
A46205										No		0				
QFE677	64	Data Quality				Group	Mitigation	What regular assessments of the system are done to protect against data drift? 		select all that apply:			1	medium	See response indicators for best practices. We recommend incoporating consistent monitoring of data changes that can cause data drift and take action when they occur. Assessments such as checks to underlying population, analysis of new use cases, and analysis of exceptional cases, can all help protect against data drift.	
A12B80										Checks to the underlying population		0.33				
A290E7										Analysis of new use cases		0.33				
AFE12B										Analysis of exceptional cases		0.33				
AB3ADE										None		0				
ABE768										Other		0.25				
QBA6C6	65	Robustness				Group	Mitigation	What contingencies are incorporated in the model and or system?		select all that apply:			1	medium	See response indicators for best practices. We recommend that these procedures be established and incorporated in the system.	
A00CBB										Established procedures for certain functions are clearly outlined and understood		0.33				
A95B49										There are established procedures for each type of recognized exception (eg denial of service, manual processing, etc.)		0.33				
A5CD30										Regular review of system failures occuring are considered and added to subsequent documentation		0.33				
A58E22										Other		0				
QB71A6	66	Accountability				not group	Mitigation	Does your organization have a framework, standard, or set of controls in place to evaluate responsible AI development and deployment in your organization?					1	high	Recommended guidance from IEEE Ethically Aligned Design: To best respect human rights, society must assure the safety and security of A/IS so that they are designed and operated in a way that benefits humans. Specifically:   1) Governance frameworks, including standards and regulatory bodies, should be established to oversee processes which ensure that the use of A/IS does not infringe upon human rights, freedoms, dignity, and privacy, and which ensure traceability. This will contribute to building public trust in A/IS.   2) A way to translate existing and forthcoming legal obligations into informed policy and technical considerations is needed. Such a method should allow for diverse cultural norms as well as differing legal and regulatory frameworks.  	
AA7C9B										Yes, a framework based on key principles of the organization		0.5				
AE6179										Yes, evaluatable standards or controls		1				
A6F094										No, we leverage a measurable framework from a credible institution		1				
A151C6										No, we haven't developed this yet		0				
Q88620	67	Data Quality				not group	Risk	How was the creation of the dataset funded? 					1	low	Motivation from Datasheets for Datasets: Who funded the creation of the dataset? If there is an associated grant, please provide the name of the grantor and the grant name and number. 	
A13747										All data was collected and created by internal researchers		1				
A08F62										It was funded in part or whole by a third party organization including a government or academic institution 		0.5				
A04694										It was funded in part or whole by a third party organization including a research institute, company, or non-governmental organization 		-0.5				
A522FB										Not applicable		1				
QB463D	68	Data Quality				Group	Risk	If data was collected within your organization (or the collection methodology is known), which of the following best practices were followed during data collection? 		select all that apply:			1	low	Motivation from Datasheets for Datasets: How was the data associated with each instance acquired? Was the data directly observable (e.g., raw text, movie ratings), reported by subjects (e.g., survey responses), or indirectly inferred/derived from other data (e.g., part-of-speech tags, model-based guesses for age or language)? If data was reported by subjects or indirectly inferred/derived from other data, was the data validated/verified? If so, please describe how What mechanisms or procedures were used to collect the data (e.g., hardware apparatus or sensor, manual human curation, software program, software API)? How were these mechanisms or procedures validated?	
AF5BA0										Data was directly observable (eg. raw text, movie ratings)		1				
A6245C										Reported directly by subjects (survey response)		1				
AB9922										Indirectly inferred/ derived from other data (eg. part-of-speech tags, model-based guesses for age or language) 		-0.5				
A8435F										Data that was reported by subjects or indirectly inferred/ derived from other data that was validated and/ or verified. 		-0.5				
AE70B4										If data was automatically collected the mechanisms and procedures were validated 		1				
A226E8										Data collection practices are unknown		-1				
QB683F	69	Data Quality				not group	Mitigation	What is the complexity of the dataset? 					1	low	We recommended achieving a balance bewteen model and dataset complexity (consider the bias-variance tradeoff) to avoid issues such as underfitting and overfitting. Fitting high dimensional data is less computaionally efficient to work with and can be more prone to overfitting.	
AADAD3										The dataset is simple, there are a limited number of instances (eg. documents, photos, people, countries) and types of instances (eg. movies, users, and ratings; people and interactions between them; nodes and edges) that comprise the full dataset. 		1				
A9932B										The dataset is complex, there are a large number of instances (eg. documents, photos, people, countries) and types of instances (eg. movies, users, and ratings; people and interactions between them; nodes and edges) that comprise the full dataset. 		-0.5				
Q8391A	70	Data Quality				not group	Risk	Is your system trained and tested on data that accurately represents the use of the system? That is, is the data fit for purpose?		select all that apply:			1	high	Motivation from Datasheets for Datasets: For what purpose was the dataset created? Was there a specific task in mind? Was there a specific gap that needed to be filled? Please provide a description. Who created the dataset (e.g., which team, research group) and on behalf of which entity (e.g., company, institution, organization)? Who funded the creation of the dataset? If there is an associated grant, please provide the name of the grantor and the grant name and number.	
AFF651										Yes, sample data used for training and testing accurately represents the use of the system		1				
A16D8D										Data has been sampled from a related dataset		0				
ABEB5B										Data being used to train and test the system is aligned, however, some components of the dataset needed to be synthesized to augment for the intended purpose. 		0.5				
A0F048										Not applicable		0				
QF9104	71	Data Quality				not group	Risk 	Is the data being used to train the system "raw" or has it been processed? 					1	low	Recommended guidance from Google's Responsible AI Practices: ML models will reflect the data they are trained on, so analyze your raw data carefully to ensure you understand it. In cases where this is not possible, e.g., with sensitive raw data, understand your input data as much as possible while respecting privacy; for example by computing aggregate, anonymized summaries.  1) Does your data contain any mistakes (e.g., missing values, incorrect labels)?  2) Is your data sampled in a way that represents your users (e.g., will be used for all ages, but you only have training data from senior citizens) and the real-world setting (e.g., will be used year-round, but you only have training data from the summer)? Is the data accurate?  3) Training-serving skew—the difference between performance during training and performance during serving—is a persistent challenge. During training, try to identify potential skews and work to address them, including by adjusting your training data or objective function. During evaluation, continue to try to get evaluation data that is as representative as possible of the deployed setting.  4) Are any features in your model redundant or unnecessary? Use the simplest model that meets your performance goals.  5) For supervised systems, consider the relationship between the data labels you have, and the items you are trying to predict. If you are using a data label X as a proxy to predict a label Y, in which cases is the gap between X and Y problematic?  6) Data bias is another important consideration; learn more in practices on AI and fairness.	
AD6779										Data is "raw" no further processing has been done from direct collection.		1				
AA247A										Data has been processed from it's "raw" state to be interpreted for human consumption, data is representative of "raw" state. 		0.5				
A437D4										Data has been processed from it's "raw" state for other purposes.		0.5				
Q34ACA	72	Data Quality				not group	Risk 	How are data being produced by your system or model being re-used or re-interpreted? 					1	low	more info coming soon	
A070B5										The data is used to recalibrate and retrain the same system or model 		1				
A52CB6 										Data are not re-used or re-interpreted		1				
A811E4										The data from this model or system is collected and made available for reuse within the same organization		0.5				
AEC70C										The data from this model or system is collected and made available for reuse outside of the organization 		0				
Q2BDD8	73	Data Quality				not group	Mitigation	What is the lifecycle of the dataset being used for this system or model?  					1	low	more info coming soon	
A62CF2										Data being used for training, operating, and maintaining the system or model is disposed of after it is no longer needed for operations 		1				
A17C08										Data being used for training, operating, and maintaining the system or model is retained after operations as it may be used for different models or systems		0				
QBEA4F	74	Data Quality				Group	Risk	All datasets being used for this system or model throughout each phase of the lifecycle have been reviewed for completeness following industry best practices (equivalent to ISO 8000 Part 140 and ISO 25012)? 		select all that apply:			1	medium	Dataset Quality Guidelines : AI Global           Completeness: The degree to which subject data associated with an entity has values for all expected attributes and related entity instances in a specific context of use.   The following are within the scope of this part of ISO 8000:    - requirements for capture and exchange of data completeness information in the form of statements and assertions of data completeness;    - conceptual data model for data completeness information in the form of statements and assertions of data completeness.	
AB4095										Data was not reviewed for completeness		-1				
A1BBB7										All values in the dataset have a specific context or use		0.2				
A3C935										There are no missing values that are pertinent for the intended use of the dataset 		0.2				
A7B9D6										Comprehensive metadata including pertinent collection information including who collected the data, ownership, the description of the dataset, the provenance, etc.  		0.2				
A05E0B										There is a data dictionary to support and help interpret the dataset		0.2				
A876E4										Data attributes within dataset conform to a data specification 		0.2				
Q70823	75	Data Quality				Group	Risk	All datasets being used for this system or model throughout each phase of the lifecycle have been reviewed for accuracy following industry best practices (equivalent to ISO 8000 Part 130 and ISO 25012)? 		select all that apply:			1	medium	Dataset Quality Guidelines: AI Global  Accuracy: The degree to which data has attributes that correctly represent the true value of the intended attribute of a concept or event in a specific context of use.    Syntactic Accuracy: Syntactic accuracy is defined as the closeness of the data values to a set of values defined in a domain considered syntactically correct.    Semantic Accuracy: Semantic accuracy is defined as the closeness of the data values to a set of values defined in a domain considered semantically correct.     A common definition of “accuracy” is the degree to which something reflects the real world. The problem with this definition is that the comparison with the real world is rarely absolute. Who makes the claim to accuracy (business identifier) . If the accuracy is covered by a warrantee: The Universal Resource Identifier (URI) where the warrantee is located. If the accuracy is asserted what is the Universal Resource Identifier (URI) where the assertion is located.	
A2FA19										Data was not reviewed for accuracy		-1				
A3F9D2										All values within the dataset represent the true intent of a sepcific event, context, or use		0.25				
A0C4D4										Data has been validated against applicable reference data where possible 		0.25				
AE9879										Dataset contains applicable labels that are representative of the data attributes contained in the dataset 		0.25				
A760AE										Data was collected in a way that accurately represents the intended purpose, population, event, etc		0.25				
Q1DAE3	76	Data Quality				Group	Risk	All datasets being used for this system or model throughout each phase of the lifecycle have been reviewed for credibility/ provenance following industry best practices (equivalent to ISO 8000 Part 130 and ISO 25012)? 		select all that apply:			1	medium	Dataset Quality Guidelines: AI Global     Credibility: The degree to which data has attributes that are regarded as true and believable by users in a specific context of use. Credibility includes the concept of authenticity (the truthfulness of origins, attributions, commitments).    Provenance: “the history of the data”	
ADAE6F										Data was not reviewed for credibility/ provenance		-1				
AA6296										All values included in the dataset are true, accurate, and or authentic		0.33				
A4CA85										The history of the data is known and clear 		0.33				
AD46BD										Owner of data has been identified and can be contacted if needed		0.33				
QFD79B	77	Data Quality				Group	Risk	All datasets being used for this system or model throughout each phase of the lifecycle have been reviewed for consistency following industry best practices (equivalent to ISO 25012)? 		select all that apply:			1	medium	Dataset Quality Guidelines: AI Global  Consistency: The degree to which data has attributes that are free from contradiction and are coherent with other data in a specific context of use. It can be either or both among data regarding one entity and across similar data for comparable entities.	
ADADFF										Data was not reviewed for consistency		-1				
AE1DAB										Dataset values are free from contradition and are coherent with other attributes within the dataset		0.5				
AD497E										Dataset values are free from contradiction and are coherent with other related datasets both produced by your organization or another credible organization 		0.5				
QC13B2		Data Quality				Group	Risk	All datasets being used for this system or model throughout each phase of the lifecycle have been reviewed for currentness/ timeliness following industry best practices (equivalent to ISO 25012)? 		select all that apply:			1	medium	Dataset Quality Guidelines: AI Global   Currentness/timeliness: The degree to which data has attributes that are of the right age in a specific context of use.	
A11013										Data was not reviewed for currentness/ timeliness		-1				
A3E6DE										Dataset is relevant given the time and context it is being used in 		0.33				
AA8F83										The decay of the dataset is understood by system developer and operator 		0.33				
AD7A96										The lifespan of the dataset has been documented clearly in the corresponding metadata		0.33				
QD3128	78	Data Quality				Group	Risk	All datasets being used for this system or model throughout each phase of the lifecycle have been reviewed for confidentiality following industry best practices (equivalent to ISO 25012)? 		select all that apply:			1	medium	Dataset Quality Guidelines: AI Global   Confidentiality: The degree to which data has attributes that ensure that it is only accessible and interpretable by authorized users in a specific context of use. Confidentiality is an aspect of information security (together with availability, integrity) as defined in ISO/IEC 13335-1:2004.	
AE3703										Data was not reviewed for confidentiality 		-1				
AB7B6F										Data is only accessible and interpretable by authorized users in a specific context of use. 		0.33				
A18D36										Data that could be deemed offensive is either removed during use, or an appropriate warning is provided?		0.33				
A28669										Data is anonymized to the greatest extent possible to ensure that no individual directly or indirectly can be identified 		0.33				
QFF2A8	79	Data Quality				Group	Risk	All datasets being used for this system or model throughout each phase of the lifecycle have been reviewed for traceability following industry best practices (equivalent to ISO 25012)? 		select all that apply:			1	medium	Dataset Quality Guidelines:   AI Global   Traceability: The degree to which data has attributes that provide an audit trail of access to the data and of any changes made to the data in a specific context of use.	
AEECC5										Data was not reviewed for traceability		-1				
AF442B										Dataset includes an audit trail of access to the data including any changes made 		0.5				
A1B01B										Dataset values contain unique identifiers where needed 		0.5				
QFD3A6	80	Data Quality				Group	Risk	All datasets being used for this system or model throughout each phase of the lifecycle have been reviewed for compliance following industry best practices (equivalent to ISO 25012)? 		select all that apply:			1	medium	Dataset Quality Guidelines: AI Global   Compliance: The degree to which data has attributes that adhere to standards, conventions or regulations in force and similar rules relating to data quality in a specific context of use.	
A733E7										Data was not reviewed for compliance 		-1				
A359A4										Data complies with all applicable standards 		0.33				
A46F9C										Data complies with all applicable conventions		0.33				
AD00CC										Data complies with all applicable legal rules (laws, regulations, etc) 		0.33				
Q3EFF7	81	Data Quality				Group	Risk	All datasets being used for this system or model throughout each phase of the lifecycle have been reviewed for accessibility including portability and recoverability following industry best practices (equivalent to ISO 25012)?		select all that apply:			1	medium	Dataset Quality Guidelines:  AI Global    Portability: The degree to which data has attributes that enable it to be installed, replaced or moved from one system to another preserving the existing quality in a specific context of use. We can add adaptability under this -Degree to which data can effectively and efficiently be cleansed and / or massaged for different or evolving hardware, software or other operational or usage environments. Replaceability - Degree to which the data can be swapped out by another supplier or newer revisions / updated.  Recoverability: The degree to which data has attributes that enable it to maintain and preserve a specified level of operations and quality, even in the event of failure, in a specific context of use	
A2C000										Data was not reviewed for accessibility		-1				
A75FC8										Data can be accessed by users or operators as needed		0.25				
A78FB0										Data is able to be installed, replaced, or moved from one system to another preserving the existing quality in a specific context or use. 		0.25				
AC87E6										Data is adaptable and cab be swapped out by another supplier or newer revisions/ updates		0.25				
A4ED34										Data is able to be preserved even in the event of a failure		0.25				
